ADDRESS,AKA,BUSINESS_NAME,BUSINESS_URL,CATEGORIES,EXTRA_PHONES,FORMATTED_PHONE,JSONLD_CITY_1,JSONLD_LAT_1,JSONLD_LNG_1,JSONLD_NAME_1,JSONLD_PHONE_1,JSONLD_STATE_1,JSONLD_STREET_1,JSONLD_ZIP_1,ORIGINAL_PHONE,PHONE,SCRAPED_AT,SEARCH_URL,STATUS,WEBSITE
,,,,,,413+848+2056,,,,,,,,,413-848-2056,,2026-02-11T07:34:39.090Z,https://www.yellowpages.com/search?search_terms=413+848+2056,no_results_found,
,,,,,,413+592+6190,,,,,,,,,413-592-6190,,2026-02-11T07:34:44.324Z,https://www.yellowpages.com/search?search_terms=413+592+6190,no_results_found,
,,,,,,413+583+3779,,,,,,,,,413-583-3779,,2026-02-11T07:34:49.844Z,https://www.yellowpages.com/search?search_terms=413+583+3779,no_results_found,
,,,,,,413+589+7333,,,,,,,,,413-589-7333,,2026-02-11T07:34:55.302Z,https://www.yellowpages.com/search?search_terms=413+589+7333,no_results_found,
,,,,,,413+569+1200,,,,,,,,,413-569-1200,,2026-02-11T07:35:00.759Z,https://www.yellowpages.com/search?search_terms=413+569+1200,no_results_found,
"720 Hall Of Fame AveSpringfield, MA 01105",,Nouria,https://www.yellowpages.com/springfield-ma/mip/nouria-578663896,Convenience Stores,,,Springfield,42.091225,-72.58278,Nouria,(413) 739-8678,MA,720 Hall Of Fame Ave,01105,413-739-8678,(413) 739-8678,2026-02-11T07:35:13.919Z,https://www.yellowpages.com/search?search_terms=413+739+8678,,https://nouria.com/locations/MA/Springfield-MA-1053
"720 Hall Of Fame AveSpringfield, MA 01105",,Sunoco,https://www.yellowpages.com/springfield-ma/mip/sunoco-579563419,"Gas Stations, Convenience Stores",413 732 3274,,Springfield,42.091225,-72.58278,Sunoco,(413) 739-8678,MA,720 Hall Of Fame Ave,01105,413-739-8678,(413) 739-8678,2026-02-11T07:35:17.837Z,https://www.yellowpages.com/search?search_terms=413+739+8678,,http://sunoco579563419.localsearch.com
"720 Hall Of Fame AveSpringfield, MA 01105",,Sunoco,https://www.yellowpages.com/springfield-ma/mip/sunoco-579563419#photo-gallery,"Gas Stations, Convenience Stores",413 732 3274,,Springfield,42.091225,-72.58278,Sunoco,(413) 739-8678,MA,720 Hall Of Fame Ave,01105,413-739-8678,(413) 739-8678,2026-02-11T07:35:19.500Z,https://www.yellowpages.com/search?search_terms=413+739+8678,,http://sunoco579563419.localsearch.com
,,,,,,413+243+3288,,,,,,,,,413-243-3288,,2026-02-11T07:35:24.623Z,https://www.yellowpages.com/search?search_terms=413+243+3288,no_results_found,
,,,,,,413+243+3344,,,,,,,,,413-243-3344,,2026-02-11T07:35:29.682Z,https://www.yellowpages.com/search?search_terms=413+243+3344,no_results_found,
