state_id,state,name,full_url,stop_type,Chain,Latitude,Longitude,LD_URL,LD_Latitude,LD_Longitude,Highway,Street Address,City,State,Postal Code,Phone,Phone 2,Fax,Exit,Phone 3,Mile Marker,Phone 4,Mailing Address,Phone 5,Road Name,https,http,htp
1,Alabama,205 TRUCK CENTER,https://www.truckstopsandservices.com/location_details.php?id=171,Trucker,chevron,33.644014,-85.50071,,33.644014,-85.50071,I-20,7000 AL 46,HEFLIN,AL,36264,256-463-7341 (TRAVEL CENTER),256-463-7341 (HUNT BROTHERS PIZZA),256-463-2022,205,,,,,,,,,
1,Alabama,231 FUEL STOP,https://www.truckstopsandservices.com/location_details.php?id=53886,Trucker,ind dealer,32.258949,-86.155029,,32.258949,-86.155029,US 231,7249 TROY HWY,PIKE ROAD,AL,36064,334-593-0332 (TRAVEL CENTER),,,,,,,,,,,,
1,Alabama,4 WAY QUICK STOP,https://www.truckstopsandservices.com/location_details.php?id=53890,Trucker,sunoco,34.28574,-86.586754,,34.28574,-86.586754,AL 69,14255 69,JOPPA,AL,35087,256-796-6310 (TRAVEL CENTER),256-796-6310 (KRISPY KRUNCHY CHICKEN),,,,,,,,,,,
1,Alabama,A. W. HERNDON OIL CO. INC.,https://www.truckstopsandservices.com/location_details.php?id=54388,Trucker,citgo,31.36038,-85.327866,,31.36038,-85.327866,US 431,16326 US 431,HEADLAND,AL,36345,334-693-2451 (TRAVEL CENTER),,334-693-2451,,,,,,,,,,
1,Alabama,ALLEN'S FOOD MART #9,https://www.truckstopsandservices.com/location_details.php?id=10176,Trucker,exxon,33.165995,-86.277705,,33.165995,-86.277705,I-20,42020 US-280,SYLACAUGA,AL,35150,256-245-2575 (TRAVEL CENTER),256-245-2575 (ALLEN'S DELI),,205,,,,,,,,,
1,Alabama,ARNOLD'S TRUCK STOP,https://www.truckstopsandservices.com/location_details.php?id=10085,Trucker,ind dealer,34.701491,-87.645053,,34.701491,-87.645053,US 72,1460 AL-20,TUSCUMBIA,AL,35674,256-381-1750 (TRAVEL CENTER),256-381-1750 (JODIE'S),256-383-6672,,,,,,,,,,
1,Alabama,BOAZ FOOD MART,https://www.truckstopsandservices.com/location_details.php?id=18449,Trucker,ind dealer,34.189343,-86.189504,,34.189343,-86.189504,US 179,20 PEPPERS RD,BOAZ,AL,35957,256-840-5030 (TRAVEL CENTER),,,,,,,,,,,,
1,Alabama,BOLIGEE ONE STOP,https://www.truckstopsandservices.com/location_details.php?id=392,Trucker,marathon,32.799198,-88.032099,,32.799198,-88.032099,I-20/59,17945 CO RD 20 N,BOLIGEE,AL,35443,205-336-8438 (TRAVEL CENTER),205-336-8438 (BOLIGEE TRUCKSTOP RESTAURANT),,32,,,,,,,,,
1,Alabama,BP,https://www.truckstopsandservices.com/location_details.php?id=53994,Trucker,bp,32.14538,-85.708809,,32.14538,-85.708809,US 82,404 E CONECUH ST,UNION SPRINGS,AL,36089,334-738-8954 (TRAVEL CENTER),,,,,,,,,,,,
1,Alabama,BROOKWOOD SHELL TRUCK STOP,https://www.truckstopsandservices.com/location_details.php?id=446,Trucker,shell,33.190829,-87.299298,,33.190829,-87.299298,I-20/59,10001 COVERED BRIDGE RD,BROOKWOOD,AL,35444,205-553-6228,,,86,,,,,,,,,
